"","Site","Exposure","Depth","Transect","Quad","Major.Category","Porcentaje"
"43","Los Molles","Exposed","Deep",1,4,"TWS",4
"44","Los Molles","Exposed","Deep",1,4,NA,0
"45","Los Molles","Exposed","Deep",1,5,"Algae indet",4.255319149
"46","Los Molles","Exposed","Deep",1,5,"Articulated Calcareous",0
"47","Los Molles","Exposed","Deep",1,5,"Corticated",0
"48","Los Molles","Exposed","Deep",1,5,"Crustose",91.489361699
"49","Los Molles","Exposed","Deep",1,5,"Filamentous",4.255319149
"50","Los Molles","Exposed","Deep",1,5,"Fish",0
"51","Los Molles","Exposed","Deep",1,5,"Invertebrates",0
"52","Los Molles","Exposed","Deep",1,5,"Leathery",0
"53","Los Molles","Exposed","Deep",1,5,"Substrate",0
"54","Los Molles","Exposed","Deep",1,5,"TWS",6
"55","Los Molles","Exposed","Deep",1,5,NA,0
"56","Los Molles","Exposed","Deep",1,6,"Algae indet",8.333333333
"57","Los Molles","Exposed","Deep",1,6,"Articulated Calcareous",0
"58","Los Molles","Exposed","Deep",1,6,"Corticated",0
"59","Los Molles","Exposed","Deep",1,6,"Crustose",81.249999997
"60","Los Molles","Exposed","Deep",1,6,"Filamentous",0
"61","Los Molles","Exposed","Deep",1,6,"Fish",0
"62","Los Molles","Exposed","Deep",1,6,"Invertebrates",8.333333333
"63","Los Molles","Exposed","Deep",1,6,"Leathery",0
"64","Los Molles","Exposed","Deep",1,6,"Substrate",2.083333333
"65","Los Molles","Exposed","Deep",1,6,"TWS",4
"66","Los Molles","Exposed","Deep",1,6,NA,0
"67","Los Molles","Exposed","Deep",1,7,"Algae indet",4.347826087
"68","Los Molles","Exposed","Deep",1,7,"Articulated Calcareous",0
"69","Los Molles","Exposed","Deep",1,7,"Corticated",0
"70","Los Molles","Exposed","Deep",1,7,"Crustose",73.913043487
"71","Los Molles","Exposed","Deep",1,7,"Filamentous",2.173913043
"72","Los Molles","Exposed","Deep",1,7,"Fish",0
"73","Los Molles","Exposed","Deep",1,7,"Invertebrates",19.565217393
"74","Los Molles","Exposed","Deep",1,7,"Leathery",0
"75","Los Molles","Exposed","Deep",1,7,"Substrate",0
"76","Los Molles","Exposed","Deep",1,7,"TWS",8
"77","Los Molles","Exposed","Deep",1,7,NA,0
"78","Los Molles","Exposed","Deep",1,8,"Algae indet",0
"79","Los Molles","Exposed","Deep",1,8,"Articulated Calcareous",0
"80","Los Molles","Exposed","Deep",1,8,"Corticated",0
"81","Los Molles","Exposed","Deep",1,8,"Crustose",85.714285717
"82","Los Molles","Exposed","Deep",1,8,"Filamentous",0
"83","Los Molles","Exposed","Deep",1,8,"Fish",0
"84","Los Molles","Exposed","Deep",1,8,"Invertebrates",14.285714284
"85","Los Molles","Exposed","Deep",1,8,"Leathery",0
"86","Los Molles","Exposed","Deep",1,8,"Substrate",0
"87","Los Molles","Exposed","Deep",1,8,"TWS",2
"88","Los Molles","Exposed","Deep",1,8,NA,0
"89","Los Molles","Exposed","Deep",1,9,"Algae indet",0
"90","Los Molles","Exposed","Deep",1,9,"Articulated Calcareous",0
"91","Los Molles","Exposed","Deep",1,9,"Corticated",0
"92","Los Molles","Exposed","Deep",1,9,"Crustose",63.829787234
"93","Los Molles","Exposed","Deep",1,9,"Filamentous",10.63829787
"94","Los Molles","Exposed","Deep",1,9,"Fish",0
"95","Los Molles","Exposed","Deep",1,9,"Invertebrates",17.021276598
"96","Los Molles","Exposed","Deep",1,9,"Leathery",6.382978723
"97","Los Molles","Exposed","Deep",1,9,"Substrate",2.127659574
"98","Los Molles","Exposed","Deep",1,9,"TWS",6
"99","Los Molles","Exposed","Deep",1,9,NA,0
"100","Los Molles","Exposed","Deep",1,10,"Algae indet",0
"101","Los Molles","Exposed","Deep",1,10,"Articulated Calcareous",0
"102","Los Molles","Exposed","Deep",1,10,"Corticated",0
"103","Los Molles","Exposed","Deep",1,10,"Crustose",88
"104","Los Molles","Exposed","Deep",1,10,"Filamentous",12
"105","Los Molles","Exposed","Deep",1,10,"Fish",0
"106","Los Molles","Exposed","Deep",1,10,"Invertebrates",0
"107","Los Molles","Exposed","Deep",1,10,"Leathery",0
"108","Los Molles","Exposed","Deep",1,10,"Substrate",0
"109","Los Molles","Exposed","Deep",1,10,"TWS",0
"110","Los Molles","Exposed","Deep",1,10,NA,0
"111","Los Molles","Exposed","Deep",2,1,"Algae indet",6.25
"112","Los Molles","Exposed","Deep",2,1,"Articulated Calcareous",0
"113","Los Molles","Exposed","Deep",2,1,"Corticated",0
"114","Los Molles","Exposed","Deep",2,1,"Crustose",75
"115","Los Molles","Exposed","Deep",2,1,"Filamentous",0
"116","Los Molles","Exposed","Deep",2,1,"Fish",0
"117","Los Molles","Exposed","Deep",2,1,"Invertebrates",18.75
"118","Los Molles","Exposed","Deep",2,1,"Leathery",0
"119","Los Molles","Exposed","Deep",2,1,"Substrate",0
"120","Los Molles","Exposed","Deep",2,1,"TWS",4
"121","Los Molles","Exposed","Deep",2,1,NA,0
"122","Los Molles","Exposed","Deep",2,2,"Algae indet",0
"123","Los Molles","Exposed","Deep",2,2,"Articulated Calcareous",0
"124","Los Molles","Exposed","Deep",2,2,"Corticated",0
"125","Los Molles","Exposed","Deep",2,2,"Crustose",75.000000003
"126","Los Molles","Exposed","Deep",2,2,"Filamentous",0
"127","Los Molles","Exposed","Deep",2,2,"Fish",0
"128","Los Molles","Exposed","Deep",2,2,"Invertebrates",10.416666666
"129","Los Molles","Exposed","Deep",2,2,"Leathery",0
"130","Los Molles","Exposed","Deep",2,2,"Substrate",14.583333333
"131","Los Molles","Exposed","Deep",2,2,"TWS",4
"132","Los Molles","Exposed","Deep",2,2,NA,0
"133","Los Molles","Exposed","Deep",2,3,"Algae indet",2.040816327
"134","Los Molles","Exposed","Deep",2,3,"Articulated Calcareous",0
"135","Los Molles","Exposed","Deep",2,3,"Corticated",0
"136","Los Molles","Exposed","Deep",2,3,"Crustose",93.87755102
"137","Los Molles","Exposed","Deep",2,3,"Filamentous",0
"138","Los Molles","Exposed","Deep",2,3,"Fish",0
"139","Los Molles","Exposed","Deep",2,3,"Invertebrates",4.081632654
"140","Los Molles","Exposed","Deep",2,3,"Leathery",0
"141","Los Molles","Exposed","Deep",2,3,"Substrate",0
"142","Los Molles","Exposed","Deep",2,3,"TWS",2
"143","Los Molles","Exposed","Deep",2,3,NA,0
"144","Los Molles","Exposed","Deep",2,4,"Algae indet",2.127659574
"145","Los Molles","Exposed","Deep",2,4,"Articulated Calcareous",0
"146","Los Molles","Exposed","Deep",2,4,"Corticated",0
"147","Los Molles","Exposed","Deep",2,4,"Crustose",70.212765954
"148","Los Molles","Exposed","Deep",2,4,"Filamentous",27.65957447
"149","Los Molles","Exposed","Deep",2,4,"Fish",0
"150","Los Molles","Exposed","Deep",2,4,"Invertebrates",0
"151","Los Molles","Exposed","Deep",2,4,"Leathery",0
"152","Los Molles","Exposed","Deep",2,4,"Substrate",0
"153","Los Molles","Exposed","Deep",2,4,"TWS",6
"154","Los Molles","Exposed","Deep",2,4,NA,0
"155","Los Molles","Exposed","Deep",2,5,"Algae indet",4
"156","Los Molles","Exposed","Deep",2,5,"Articulated Calcareous",0
"157","Los Molles","Exposed","Deep",2,5,"Corticated",0
"158","Los Molles","Exposed","Deep",2,5,"Crustose",60
"159","Los Molles","Exposed","Deep",2,5,"Filamentous",0
"160","Los Molles","Exposed","Deep",2,5,"Fish",0
"161","Los Molles","Exposed","Deep",2,5,"Invertebrates",14
"162","Los Molles","Exposed","Deep",2,5,"Leathery",0
"163","Los Molles","Exposed","Deep",2,5,"Substrate",22
"164","Los Molles","Exposed","Deep",2,5,"TWS",0
"165","Los Molles","Exposed","Deep",2,5,NA,0
"166","Los Molles","Exposed","Deep",2,6,"Algae indet",2.040816327
"167","Los Molles","Exposed","Deep",2,6,"Articulated Calcareous",0
"168","Los Molles","Exposed","Deep",2,6,"Corticated",0
"169","Los Molles","Exposed","Deep",2,6,"Crustose",71.428571427
"170","Los Molles","Exposed","Deep",2,6,"Filamentous",0
"171","Los Molles","Exposed","Deep",2,6,"Fish",0
"172","Los Molles","Exposed","Deep",2,6,"Invertebrates",14.285714287
"173","Los Molles","Exposed","Deep",2,6,"Leathery",0
"174","Los Molles","Exposed","Deep",2,6,"Substrate",12.24489796
"175","Los Molles","Exposed","Deep",2,6,"TWS",2
"176","Los Molles","Exposed","Deep",2,6,NA,0
"177","Los Molles","Exposed","Deep",2,7,"Algae indet",0
"178","Los Molles","Exposed","Deep",2,7,"Articulated Calcareous",0
"179","Los Molles","Exposed","Deep",2,7,"Corticated",0
"180","Los Molles","Exposed","Deep",2,7,"Crustose",91.30434782
"181","Los Molles","Exposed","Deep",2,7,"Filamentous",0
"182","Los Molles","Exposed","Deep",2,7,"Fish",0
"183","Los Molles","Exposed","Deep",2,7,"Invertebrates",4.347826086
"184","Los Molles","Exposed","Deep",2,7,"Leathery",0
"185","Los Molles","Exposed","Deep",2,7,"Substrate",4.347826087
"186","Los Molles","Exposed","Deep",2,7,"TWS",8
"187","Los Molles","Exposed","Deep",2,7,NA,0
"188","Los Molles","Exposed","Deep",2,8,"Algae indet",0
"189","Los Molles","Exposed","Deep",2,8,"Articulated Calcareous",0
"190","Los Molles","Exposed","Deep",2,8,"Corticated",0
"191","Los Molles","Exposed","Deep",2,8,"Crustose",95.74468085
"192","Los Molles","Exposed","Deep",2,8,"Filamentous",2.127659574
"193","Los Molles","Exposed","Deep",2,8,"Fish",0
"194","Los Molles","Exposed","Deep",2,8,"Invertebrates",2.127659574
"195","Los Molles","Exposed","Deep",2,8,"Leathery",0
"196","Los Molles","Exposed","Deep",2,8,"Substrate",0
"197","Los Molles","Exposed","Deep",2,8,"TWS",6
"198","Los Molles","Exposed","Deep",2,8,NA,0
"199","Los Molles","Exposed","Deep",2,9,"Algae indet",0
"200","Los Molles","Exposed","Deep",2,9,"Articulated Calcareous",0
"201","Los Molles","Exposed","Deep",2,9,"Corticated",0
"202","Los Molles","Exposed","Deep",2,9,"Crustose",95.652173913
"203","Los Molles","Exposed","Deep",2,9,"Filamentous",0
"204","Los Molles","Exposed","Deep",2,9,"Fish",0
"205","Los Molles","Exposed","Deep",2,9,"Invertebrates",2.173913043
"206","Los Molles","Exposed","Deep",2,9,"Leathery",0
"207","Los Molles","Exposed","Deep",2,9,"Substrate",2.173913043
"208","Los Molles","Exposed","Deep",2,9,"TWS",8
"209","Los Molles","Exposed","Deep",2,9,NA,0
"210","Los Molles","Exposed","Deep",2,10,"Algae indet",0
"211","Los Molles","Exposed","Deep",2,10,"Articulated Calcareous",0
"212","Los Molles","Exposed","Deep",2,10,"Corticated",0
"213","Los Molles","Exposed","Deep",2,10,"Crustose",97.916666667
"214","Los Molles","Exposed","Deep",2,10,"Filamentous",0
"215","Los Molles","Exposed","Deep",2,10,"Fish",0
"216","Los Molles","Exposed","Deep",2,10,"Invertebrates",0
"217","Los Molles","Exposed","Deep",2,10,"Leathery",0
"218","Los Molles","Exposed","Deep",2,10,"Substrate",2.083333333
"219","Los Molles","Exposed","Deep",2,10,"TWS",4
"220","Los Molles","Exposed","Deep",2,10,NA,0
"221","Los Molles","Exposed","shallow",1,1,"Algae indet",2
"222","Los Molles","Exposed","shallow",1,1,"Articulated Calcareous",0
"223","Los Molles","Exposed","shallow",1,1,"Corticated",0
"224","Los Molles","Exposed","shallow",1,1,"Crustose",90
"225","Los Molles","Exposed","shallow",1,1,"Filamentous",0
"226","Los Molles","Exposed","shallow",1,1,"Fish",0
"227","Los Molles","Exposed","shallow",1,1,"Invertebrates",6
"228","Los Molles","Exposed","shallow",1,1,"Leathery",0
"229","Los Molles","Exposed","shallow",1,1,"Substrate",2
"230","Los Molles","Exposed","shallow",1,1,"TWS",0
"231","Los Molles","Exposed","shallow",1,1,NA,0
"232","Los Molles","Exposed","shallow",1,2,"Algae indet",0
"233","Los Molles","Exposed","shallow",1,2,"Articulated Calcareous",0
"234","Los Molles","Exposed","shallow",1,2,"Corticated",0
"235","Los Molles","Exposed","shallow",1,2,"Crustose",88.636363636
"236","Los Molles","Exposed","shallow",1,2,"Filamentous",0
"237","Los Molles","Exposed","shallow",1,2,"Fish",0
"238","Los Molles","Exposed","shallow",1,2,"Invertebrates",11.36363636
"239","Los Molles","Exposed","shallow",1,2,"Leathery",0
"240","Los Molles","Exposed","shallow",1,2,"Substrate",0
"241","Los Molles","Exposed","shallow",1,2,"TWS",12
"242","Los Molles","Exposed","shallow",1,2,NA,0
"243","Los Molles","Exposed","shallow",1,3,"Algae indet",0
"244","Los Molles","Exposed","shallow",1,3,"Articulated Calcareous",0
"245","Los Molles","Exposed","shallow",1,3,"Corticated",0
"246","Los Molles","Exposed","shallow",1,3,"Crustose",92.857142853
"247","Los Molles","Exposed","shallow",1,3,"Filamentous",0
"248","Los Molles","Exposed","shallow",1,3,"Fish",0
"249","Los Molles","Exposed","shallow",1,3,"Invertebrates",4.761904762
"250","Los Molles","Exposed","shallow",1,3,"Leathery",0
"251","Los Molles","Exposed","shallow",1,3,"Substrate",2.380952381
"252","Los Molles","Exposed","shallow",1,3,"TWS",16
"253","Los Molles","Exposed","shallow",1,3,NA,0
"254","Los Molles","Exposed","shallow",1,4,"Algae indet",13.95348837
"255","Los Molles","Exposed","shallow",1,4,"Articulated Calcareous",0
"256","Los Molles","Exposed","shallow",1,4,"Corticated",0
"257","Los Molles","Exposed","shallow",1,4,"Crustose",83.720930231
"258","Los Molles","Exposed","shallow",1,4,"Filamentous",0
"259","Los Molles","Exposed","shallow",1,4,"Fish",0
"260","Los Molles","Exposed","shallow",1,4,"Invertebrates",2.325581395
"261","Los Molles","Exposed","shallow",1,4,"Leathery",0
"262","Los Molles","Exposed","shallow",1,4,"Substrate",0
"263","Los Molles","Exposed","shallow",1,4,"TWS",14
"264","Los Molles","Exposed","shallow",1,4,NA,0
"265","Los Molles","Exposed","shallow",1,5,"Algae indet",2.222222222
"266","Los Molles","Exposed","shallow",1,5,"Articulated Calcareous",0
"267","Los Molles","Exposed","shallow",1,5,"Corticated",0
"268","Los Molles","Exposed","shallow",1,5,"Crustose",97.777777774
"269","Los Molles","Exposed","shallow",1,5,"Filamentous",0
"270","Los Molles","Exposed","shallow",1,5,"Fish",0
"271","Los Molles","Exposed","shallow",1,5,"Invertebrates",0
"272","Los Molles","Exposed","shallow",1,5,"Leathery",0
"273","Los Molles","Exposed","shallow",1,5,"Substrate",0
"274","Los Molles","Exposed","shallow",1,5,"TWS",10
"275","Los Molles","Exposed","shallow",1,5,NA,0
"276","Los Molles","Exposed","shallow",1,6,"Algae indet",0
"277","Los Molles","Exposed","shallow",1,6,"Articulated Calcareous",0
"278","Los Molles","Exposed","shallow",1,6,"Corticated",0
"279","Los Molles","Exposed","shallow",1,6,"Crustose",91.666666663
"280","Los Molles","Exposed","shallow",1,6,"Filamentous",0
"281","Los Molles","Exposed","shallow",1,6,"Fish",0
"282","Los Molles","Exposed","shallow",1,6,"Invertebrates",0
"283","Los Molles","Exposed","shallow",1,6,"Leathery",0
"284","Los Molles","Exposed","shallow",1,6,"Substrate",8.333333334
"285","Los Molles","Exposed","shallow",1,6,"TWS",4
"286","Los Molles","Exposed","shallow",1,6,NA,0
"287","Los Molles","Exposed","shallow",1,7,"Algae indet",0
"288","Los Molles","Exposed","shallow",1,7,"Articulated Calcareous",0
"289","Los Molles","Exposed","shallow",1,7,"Corticated",0
"290","Los Molles","Exposed","shallow",1,7,"Crustose",95.65217391
"291","Los Molles","Exposed","shallow",1,7,"Filamentous",0
"292","Los Molles","Exposed","shallow",1,7,"Fish",0
"293","Los Molles","Exposed","shallow",1,7,"Invertebrates",2.173913043
"294","Los Molles","Exposed","shallow",1,7,"Leathery",0
"295","Los Molles","Exposed","shallow",1,7,"Substrate",2.173913043
"296","Los Molles","Exposed","shallow",1,7,"TWS",8
"297","Los Molles","Exposed","shallow",1,7,NA,0
"298","Los Molles","Exposed","shallow",1,8,"Algae indet",0
"299","Los Molles","Exposed","shallow",1,8,"Articulated Calcareous",0
"300","Los Molles","Exposed","shallow",1,8,"Corticated",0
"301","Los Molles","Exposed","shallow",1,8,"Crustose",99.999999997
"302","Los Molles","Exposed","shallow",1,8,"Filamentous",0
"303","Los Molles","Exposed","shallow",1,8,"Fish",0
"304","Los Molles","Exposed","shallow",1,8,"Invertebrates",0
"305","Los Molles","Exposed","shallow",1,8,"Leathery",0
"306","Los Molles","Exposed","shallow",1,8,"Substrate",0
"307","Los Molles","Exposed","shallow",1,8,"TWS",8
"308","Los Molles","Exposed","shallow",1,8,NA,0
"309","Los Molles","Exposed","shallow",1,9,"Algae indet",0
"310","Los Molles","Exposed","shallow",1,9,"Articulated Calcareous",0
"311","Los Molles","Exposed","shallow",1,9,"Corticated",0
"312","Los Molles","Exposed","shallow",1,9,"Crustose",91.489361699
"313","Los Molles","Exposed","shallow",1,9,"Filamentous",0
"314","Los Molles","Exposed","shallow",1,9,"Fish",0
"315","Los Molles","Exposed","shallow",1,9,"Invertebrates",8.510638297
"316","Los Molles","Exposed","shallow",1,9,"Leathery",0
"317","Los Molles","Exposed","shallow",1,9,"Substrate",0
"318","Los Molles","Exposed","shallow",1,9,"TWS",6
"319","Los Molles","Exposed","shallow",1,9,NA,0
"320","Los Molles","Exposed","shallow",1,10,"Algae indet",0
"321","Los Molles","Exposed","shallow",1,10,"Articulated Calcareous",0
"322","Los Molles","Exposed","shallow",1,10,"Corticated",0
"323","Los Molles","Exposed","shallow",1,10,"Crustose",97.872340424
"324","Los Molles","Exposed","shallow",1,10,"Filamentous",0
"325","Los Molles","Exposed","shallow",1,10,"Fish",0
"326","Los Molles","Exposed","shallow",1,10,"Invertebrates",2.127659574
"327","Los Molles","Exposed","shallow",1,10,"Leathery",0
"328","Los Molles","Exposed","shallow",1,10,"Substrate",0
"329","Los Molles","Exposed","shallow",1,10,"TWS",6
"330","Los Molles","Exposed","shallow",1,10,NA,0
"331","Los Molles","Exposed","shallow",2,1,"Algae indet",0
"332","Los Molles","Exposed","shallow",2,1,"Articulated Calcareous",0
"333","Los Molles","Exposed","shallow",2,1,"Corticated",0
"334","Los Molles","Exposed","shallow",2,1,"Crustose",73.469387753
"335","Los Molles","Exposed","shallow",2,1,"Filamentous",0
"336","Los Molles","Exposed","shallow",2,1,"Fish",0
"337","Los Molles","Exposed","shallow",2,1,"Invertebrates",0
"338","Los Molles","Exposed","shallow",2,1,"Leathery",22.44897959
"339","Los Molles","Exposed","shallow",2,1,"Substrate",4.081632653
"340","Los Molles","Exposed","shallow",2,1,"TWS",2
"341","Los Molles","Exposed","shallow",2,1,NA,0
"342","Los Molles","Exposed","shallow",2,2,"Algae indet",0
"343","Los Molles","Exposed","shallow",2,2,"Articulated Calcareous",0
"344","Los Molles","Exposed","shallow",2,2,"Corticated",0
"345","Los Molles","Exposed","shallow",2,2,"Crustose",93.750000003
"346","Los Molles","Exposed","shallow",2,2,"Filamentous",0
"347","Los Molles","Exposed","shallow",2,2,"Fish",0
"348","Los Molles","Exposed","shallow",2,2,"Invertebrates",6.25
"349","Los Molles","Exposed","shallow",2,2,"Leathery",0
"350","Los Molles","Exposed","shallow",2,2,"Substrate",0
"351","Los Molles","Exposed","shallow",2,2,"TWS",4
"352","Los Molles","Exposed","shallow",2,2,NA,0
"353","Los Molles","Exposed","shallow",2,3,"Algae indet",0
"354","Los Molles","Exposed","shallow",2,3,"Articulated Calcareous",0
"355","Los Molles","Exposed","shallow",2,3,"Corticated",0
"356","Los Molles","Exposed","shallow",2,3,"Crustose",61.36363636
"357","Los Molles","Exposed","shallow",2,3,"Filamentous",0
"358","Los Molles","Exposed","shallow",2,3,"Fish",0
"359","Los Molles","Exposed","shallow",2,3,"Invertebrates",6.818181818
"360","Los Molles","Exposed","shallow",2,3,"Leathery",0
"361","Los Molles","Exposed","shallow",2,3,"Substrate",31.818181823
"362","Los Molles","Exposed","shallow",2,3,"TWS",12
"363","Los Molles","Exposed","shallow",2,3,NA,0
"364","Los Molles","Exposed","shallow",2,4,"Algae indet",0
"365","Los Molles","Exposed","shallow",2,4,"Articulated Calcareous",0
"366","Los Molles","Exposed","shallow",2,4,"Corticated",0
"367","Los Molles","Exposed","shallow",2,4,"Crustose",6.976744186
"368","Los Molles","Exposed","shallow",2,4,"Filamentous",0
"369","Los Molles","Exposed","shallow",2,4,"Fish",0
"370","Los Molles","Exposed","shallow",2,4,"Invertebrates",93.023255815
"371","Los Molles","Exposed","shallow",2,4,"Leathery",0
"372","Los Molles","Exposed","shallow",2,4,"Substrate",0
"373","Los Molles","Exposed","shallow",2,4,"TWS",14
"374","Los Molles","Exposed","shallow",2,4,NA,0
"375","Los Molles","Exposed","shallow",2,5,"Algae indet",0
"376","Los Molles","Exposed","shallow",2,5,"Articulated Calcareous",0
"377","Los Molles","Exposed","shallow",2,5,"Corticated",0
"378","Los Molles","Exposed","shallow",2,5,"Crustose",68.888888892
"379","Los Molles","Exposed","shallow",2,5,"Filamentous",0
"380","Los Molles","Exposed","shallow",2,5,"Fish",0
"381","Los Molles","Exposed","shallow",2,5,"Invertebrates",26.66666667
"382","Los Molles","Exposed","shallow",2,5,"Leathery",0
"383","Los Molles","Exposed","shallow",2,5,"Substrate",4.444444444
"384","Los Molles","Exposed","shallow",2,5,"TWS",10
"385","Los Molles","Exposed","shallow",2,5,NA,0
"386","Los Molles","Exposed","shallow",2,6,"Algae indet",0
"387","Los Molles","Exposed","shallow",2,6,"Articulated Calcareous",0
"388","Los Molles","Exposed","shallow",2,6,"Corticated",0
"389","Los Molles","Exposed","shallow",2,6,"Crustose",60.465116275
"390","Los Molles","Exposed","shallow",2,6,"Filamentous",0
"391","Los Molles","Exposed","shallow",2,6,"Fish",0
"392","Los Molles","Exposed","shallow",2,6,"Invertebrates",30.232558141
"393","Los Molles","Exposed","shallow",2,6,"Leathery",0
"394","Los Molles","Exposed","shallow",2,6,"Substrate",9.302325582
"395","Los Molles","Exposed","shallow",2,6,"TWS",14
"396","Los Molles","Exposed","shallow",2,6,NA,0
"397","Los Molles","Exposed","shallow",2,7,"Algae indet",0
"398","Los Molles","Exposed","shallow",2,7,"Articulated Calcareous",0
"399","Los Molles","Exposed","shallow",2,7,"Corticated",0
"400","Los Molles","Exposed","shallow",2,7,"Crustose",81.250000003
"401","Los Molles","Exposed","shallow",2,7,"Filamentous",0
"402","Los Molles","Exposed","shallow",2,7,"Fish",0
"403","Los Molles","Exposed","shallow",2,7,"Invertebrates",18.749999997
"404","Los Molles","Exposed","shallow",2,7,"Leathery",0
"405","Los Molles","Exposed","shallow",2,7,"Substrate",0
"406","Los Molles","Exposed","shallow",2,7,"TWS",4
"407","Los Molles","Exposed","shallow",2,7,NA,0
"408","Los Molles","Exposed","shallow",2,8,"Algae indet",0
"409","Los Molles","Exposed","shallow",2,8,"Articulated Calcareous",0
"410","Los Molles","Exposed","shallow",2,8,"Corticated",0
"411","Los Molles","Exposed","shallow",2,8,"Crustose",100
"412","Los Molles","Exposed","shallow",2,8,"Filamentous",0
"413","Los Molles","Exposed","shallow",2,8,"Fish",0
"414","Los Molles","Exposed","shallow",2,8,"Invertebrates",0
"415","Los Molles","Exposed","shallow",2,8,"Leathery",0
"416","Los Molles","Exposed","shallow",2,8,"Substrate",0
"417","Los Molles","Exposed","shallow",2,8,"TWS",4
"418","Los Molles","Exposed","shallow",2,8,NA,0
"419","Los Molles","Exposed","shallow",2,9,"Algae indet",0
"420","Los Molles","Exposed","shallow",2,9,"Articulated Calcareous",0
"421","Los Molles","Exposed","shallow",2,9,"Corticated",0
"422","Los Molles","Exposed","shallow",2,9,"Crustose",97.916666667
"423","Los Molles","Exposed","shallow",2,9,"Filamentous",0
"424","Los Molles","Exposed","shallow",2,9,"Fish",0
"425","Los Molles","Exposed","shallow",2,9,"Invertebrates",2.083333333
"426","Los Molles","Exposed","shallow",2,9,"Leathery",0
"427","Los Molles","Exposed","shallow",2,9,"Substrate",0
"428","Los Molles","Exposed","shallow",2,9,"TWS",4
"429","Los Molles","Exposed","shallow",2,9,NA,0
"430","Los Molles","Exposed","shallow",2,10,"Algae indet",0
"431","Los Molles","Exposed","shallow",2,10,"Articulated Calcareous",0
"432","Los Molles","Exposed","shallow",2,10,"Corticated",0
"433","Los Molles","Exposed","shallow",2,10,"Crustose",97.95918367
"434","Los Molles","Exposed","shallow",2,10,"Filamentous",0
"435","Los Molles","Exposed","shallow",2,10,"Fish",0
"436","Los Molles","Exposed","shallow",2,10,"Invertebrates",2.040816327
"437","Los Molles","Exposed","shallow",2,10,"Leathery",0
"438","Los Molles","Exposed","shallow",2,10,"Substrate",0
"439","Los Molles","Exposed","shallow",2,10,"TWS",2
"440","Los Molles","Exposed","shallow",2,10,NA,0
"441","Los Molles","Exposed","shallow",3,1,"Algae indet",0
"442","Los Molles","Exposed","shallow",3,1,"Articulated Calcareous",0
"443","Los Molles","Exposed","shallow",3,1,"Corticated",0
"444","Los Molles","Exposed","shallow",3,1,"Crustose",100
"445","Los Molles","Exposed","shallow",3,1,"Filamentous",0
"446","Los Molles","Exposed","shallow",3,1,"Fish",0
