Serie,Habitat,Site,Exposure,Depht,Transect,Quad,Subcategory,Cover
46,Kelp,Los Molles,Exposed,Deep,1,2,Crustosa verde,6.25
47,Kelp,Los Molles,Exposed,Deep,1,2,Gelidium spp.,0
48,Kelp,Los Molles,Exposed,Deep,1,2,Hildenbrandia,31.25
49,Kelp,Los Molles,Exposed,Deep,1,2,Algae indet,0
50,Kelp,Los Molles,Exposed,Deep,1,2,Lessonia,0
51,Kelp,Los Molles,Exposed,Deep,1,2,Lithothamnium,43.75
52,Kelp,Los Molles,Exposed,Deep,1,2,Filamentous,0
53,Kelp,Los Molles,Exposed,Deep,1,2,Filamentous,14.58333333
54,Kelp,Los Molles,Exposed,Deep,1,2,Ralfsia confusa,0
55,Kelp,Los Molles,Exposed,Deep,1,2,Lessonia skeleton,0
56,Kelp,Los Molles,Exposed,Deep,1,2,Anemona ,0
57,Kelp,Los Molles,Exposed,Deep,1,2,Calleporella,0
58,Kelp,Los Molles,Exposed,Deep,1,2,Chiton,0
59,Kelp,Los Molles,Exposed,Deep,1,2,Cirripedios,0
60,Kelp,Los Molles,Exposed,Deep,1,2,Crustaceo,0
61,Kelp,Los Molles,Exposed,Deep,1,2,Entalphora,0
62,Kelp,Los Molles,Exposed,Deep,1,2,Erizos,0
63,Kelp,Los Molles,Exposed,Deep,1,2,Estrella,0
64,Kelp,Los Molles,Exposed,Deep,1,2,Gastropodo,4.166666667
65,Kelp,Los Molles,Exposed,Deep,1,2,Heliaster helianthus,0
66,Kelp,Los Molles,Exposed,Deep,1,2,Hidrozoo,0
67,Kelp,Los Molles,Exposed,Deep,1,2,Opistobranchio,0
68,Kelp,Los Molles,Exposed,Deep,1,2,Sponge,0
69,Kelp,Los Molles,Exposed,Deep,1,2,Poliqueto,0
70,Kelp,Los Molles,Exposed,Deep,1,2,Tunicado,0
71,Kelp,Los Molles,Exposed,Deep,1,2,Peces,0
72,Kelp,Los Molles,Exposed,Deep,1,2,Shadow,2
73,Kelp,Los Molles,Exposed,Deep,1,2,Tape,2
74,Kelp,Los Molles,Exposed,Deep,1,2,Wand,0
75,Kelp,Los Molles,Exposed,Deep,1,3,Boulder,0
76,Kelp,Los Molles,Exposed,Deep,1,3,Conchuela,0
77,Kelp,Los Molles,Exposed,Deep,1,3,Rock,0
78,Kelp,Los Molles,Exposed,Deep,1,3,Rock,0
79,Kelp,Los Molles,Exposed,Deep,1,3,Rock,0
80,Kelp,Los Molles,Exposed,Deep,1,3,Rock,0
81,Kelp,Los Molles,Exposed,Deep,1,3,Sand,0
82,Kelp,Los Molles,Exposed,Deep,1,3,Corallina spp.,0
83,Kelp,Los Molles,Exposed,Deep,1,3,Crustosa verde,26.19047619
84,Kelp,Los Molles,Exposed,Deep,1,3,Gelidium spp.,0
85,Kelp,Los Molles,Exposed,Deep,1,3,Hildenbrandia,19.04761905
86,Kelp,Los Molles,Exposed,Deep,1,3,Algae indet,0
87,Kelp,Los Molles,Exposed,Deep,1,3,Lessonia,0
88,Kelp,Los Molles,Exposed,Deep,1,3,Lithothamnium,42.85714286
89,Kelp,Los Molles,Exposed,Deep,1,3,Filamentous,11.9047619
90,Kelp,Los Molles,Exposed,Deep,1,3,Filamentous,0
91,Kelp,Los Molles,Exposed,Deep,1,3,Ralfsia confusa,0
92,Kelp,Los Molles,Exposed,Deep,1,3,Lessonia skeleton,0
93,Kelp,Los Molles,Exposed,Deep,1,3,Anemona ,0
94,Kelp,Los Molles,Exposed,Deep,1,3,Calleporella,0
95,Kelp,Los Molles,Exposed,Deep,1,3,Chiton,0
96,Kelp,Los Molles,Exposed,Deep,1,3,Cirripedios,0
97,Kelp,Los Molles,Exposed,Deep,1,3,Crustaceo,0
98,Kelp,Los Molles,Exposed,Deep,1,3,Entalphora,0
99,Kelp,Los Molles,Exposed,Deep,1,3,Erizos,0
100,Kelp,Los Molles,Exposed,Deep,1,3,Estrella,0
101,Kelp,Los Molles,Exposed,Deep,1,3,Gastropodo,0
102,Kelp,Los Molles,Exposed,Deep,1,3,Heliaster helianthus,0
103,Kelp,Los Molles,Exposed,Deep,1,3,Hidrozoo,0
104,Kelp,Los Molles,Exposed,Deep,1,3,Opistobranchio,0
105,Kelp,Los Molles,Exposed,Deep,1,3,Sponge,0
106,Kelp,Los Molles,Exposed,Deep,1,3,Poliqueto,0
107,Kelp,Los Molles,Exposed,Deep,1,3,Tunicado,0
108,Kelp,Los Molles,Exposed,Deep,1,3,Peces,0
109,Kelp,Los Molles,Exposed,Deep,1,3,Shadow,10
110,Kelp,Los Molles,Exposed,Deep,1,3,Tape,6
111,Kelp,Los Molles,Exposed,Deep,1,3,Wand,0
112,Kelp,Los Molles,Exposed,Deep,1,4,Boulder,0
113,Kelp,Los Molles,Exposed,Deep,1,4,Conchuela,0
114,Kelp,Los Molles,Exposed,Deep,1,4,Rock,0
115,Kelp,Los Molles,Exposed,Deep,1,4,Rock,0
116,Kelp,Los Molles,Exposed,Deep,1,4,Rock,0
117,Kelp,Los Molles,Exposed,Deep,1,4,Rock,0
118,Kelp,Los Molles,Exposed,Deep,1,4,Sand,0
119,Kelp,Los Molles,Exposed,Deep,1,4,Corallina spp.,0
120,Kelp,Los Molles,Exposed,Deep,1,4,Crustosa verde,8.333333333
121,Kelp,Los Molles,Exposed,Deep,1,4,Gelidium spp.,0
122,Kelp,Los Molles,Exposed,Deep,1,4,Hildenbrandia,4.166666667
123,Kelp,Los Molles,Exposed,Deep,1,4,Algae indet,2.083333333
124,Kelp,Los Molles,Exposed,Deep,1,4,Lessonia,0
125,Kelp,Los Molles,Exposed,Deep,1,4,Lithothamnium,81.25
126,Kelp,Los Molles,Exposed,Deep,1,4,Filamentous,0
127,Kelp,Los Molles,Exposed,Deep,1,4,Filamentous,0
128,Kelp,Los Molles,Exposed,Deep,1,4,Ralfsia confusa,0
129,Kelp,Los Molles,Exposed,Deep,1,4,Lessonia skeleton,0
130,Kelp,Los Molles,Exposed,Deep,1,4,Anemona ,0
131,Kelp,Los Molles,Exposed,Deep,1,4,Calleporella,0
132,Kelp,Los Molles,Exposed,Deep,1,4,Chiton,0
133,Kelp,Los Molles,Exposed,Deep,1,4,Cirripedios,0
134,Kelp,Los Molles,Exposed,Deep,1,4,Crustaceo,0
135,Kelp,Los Molles,Exposed,Deep,1,4,Entalphora,2.083333333
136,Kelp,Los Molles,Exposed,Deep,1,4,Erizos,0
137,Kelp,Los Molles,Exposed,Deep,1,4,Estrella,0
138,Kelp,Los Molles,Exposed,Deep,1,4,Gastropodo,2.083333333
139,Kelp,Los Molles,Exposed,Deep,1,4,Heliaster helianthus,0
140,Kelp,Los Molles,Exposed,Deep,1,4,Hidrozoo,0
141,Kelp,Los Molles,Exposed,Deep,1,4,Opistobranchio,0
142,Kelp,Los Molles,Exposed,Deep,1,4,Sponge,0
143,Kelp,Los Molles,Exposed,Deep,1,4,Poliqueto,0
144,Kelp,Los Molles,Exposed,Deep,1,4,Tunicado,0
145,Kelp,Los Molles,Exposed,Deep,1,4,Peces,0
146,Kelp,Los Molles,Exposed,Deep,1,4,Shadow,0
147,Kelp,Los Molles,Exposed,Deep,1,4,Tape,4
148,Kelp,Los Molles,Exposed,Deep,1,4,Wand,0
149,Kelp,Los Molles,Exposed,Deep,1,5,Boulder,0
150,Kelp,Los Molles,Exposed,Deep,1,5,Conchuela,0
151,Kelp,Los Molles,Exposed,Deep,1,5,Rock,0
152,Kelp,Los Molles,Exposed,Deep,1,5,Rock,0
153,Kelp,Los Molles,Exposed,Deep,1,5,Rock,0
154,Kelp,Los Molles,Exposed,Deep,1,5,Rock,0
155,Kelp,Los Molles,Exposed,Deep,1,5,Sand,0
156,Kelp,Los Molles,Exposed,Deep,1,5,Corallina spp.,0
157,Kelp,Los Molles,Exposed,Deep,1,5,Crustosa verde,4.255319149
158,Kelp,Los Molles,Exposed,Deep,1,5,Gelidium spp.,0
159,Kelp,Los Molles,Exposed,Deep,1,5,Hildenbrandia,21.27659574
160,Kelp,Los Molles,Exposed,Deep,1,5,Algae indet,4.255319149
161,Kelp,Los Molles,Exposed,Deep,1,5,Lessonia,0
162,Kelp,Los Molles,Exposed,Deep,1,5,Lithothamnium,65.95744681
163,Kelp,Los Molles,Exposed,Deep,1,5,Filamentous,0
164,Kelp,Los Molles,Exposed,Deep,1,5,Filamentous,4.255319149
165,Kelp,Los Molles,Exposed,Deep,1,5,Ralfsia confusa,0
166,Kelp,Los Molles,Exposed,Deep,1,5,Lessonia skeleton,0
167,Kelp,Los Molles,Exposed,Deep,1,5,Anemona ,0
168,Kelp,Los Molles,Exposed,Deep,1,5,Calleporella,0
169,Kelp,Los Molles,Exposed,Deep,1,5,Chiton,0
170,Kelp,Los Molles,Exposed,Deep,1,5,Cirripedios,0
171,Kelp,Los Molles,Exposed,Deep,1,5,Crustaceo,0
172,Kelp,Los Molles,Exposed,Deep,1,5,Entalphora,0
173,Kelp,Los Molles,Exposed,Deep,1,5,Erizos,0
174,Kelp,Los Molles,Exposed,Deep,1,5,Estrella,0
175,Kelp,Los Molles,Exposed,Deep,1,5,Gastropodo,0
176,Kelp,Los Molles,Exposed,Deep,1,5,Heliaster helianthus,0
177,Kelp,Los Molles,Exposed,Deep,1,5,Hidrozoo,0
178,Kelp,Los Molles,Exposed,Deep,1,5,Opistobranchio,0
179,Kelp,Los Molles,Exposed,Deep,1,5,Sponge,0
180,Kelp,Los Molles,Exposed,Deep,1,5,Poliqueto,0
181,Kelp,Los Molles,Exposed,Deep,1,5,Tunicado,0
182,Kelp,Los Molles,Exposed,Deep,1,5,Peces,0
183,Kelp,Los Molles,Exposed,Deep,1,5,Shadow,2
184,Kelp,Los Molles,Exposed,Deep,1,5,Tape,4
185,Kelp,Los Molles,Exposed,Deep,1,5,Wand,0
186,Kelp,Los Molles,Exposed,Deep,1,6,Boulder,0
187,Kelp,Los Molles,Exposed,Deep,1,6,Conchuela,0
188,Kelp,Los Molles,Exposed,Deep,1,6,Rock,0
189,Kelp,Los Molles,Exposed,Deep,1,6,Rock,0
190,Kelp,Los Molles,Exposed,Deep,1,6,Rock,2.083333333
191,Kelp,Los Molles,Exposed,Deep,1,6,Rock,0
192,Kelp,Los Molles,Exposed,Deep,1,6,Sand,0
193,Kelp,Los Molles,Exposed,Deep,1,6,Corallina spp.,0
194,Kelp,Los Molles,Exposed,Deep,1,6,Crustosa verde,4.166666667
195,Kelp,Los Molles,Exposed,Deep,1,6,Gelidium spp.,0
196,Kelp,Los Molles,Exposed,Deep,1,6,Hildenbrandia,41.66666667
197,Kelp,Los Molles,Exposed,Deep,1,6,Algae indet,8.333333333
198,Kelp,Los Molles,Exposed,Deep,1,6,Lessonia,0
199,Kelp,Los Molles,Exposed,Deep,1,6,Lithothamnium,20.83333333
200,Kelp,Los Molles,Exposed,Deep,1,6,Filamentous,0
201,Kelp,Los Molles,Exposed,Deep,1,6,Filamentous,0
202,Kelp,Los Molles,Exposed,Deep,1,6,Ralfsia confusa,14.58333333
203,Kelp,Los Molles,Exposed,Deep,1,6,Lessonia skeleton,0
204,Kelp,Los Molles,Exposed,Deep,1,6,Anemona ,0
205,Kelp,Los Molles,Exposed,Deep,1,6,Calleporella,0
206,Kelp,Los Molles,Exposed,Deep,1,6,Chiton,0
207,Kelp,Los Molles,Exposed,Deep,1,6,Cirripedios,0
208,Kelp,Los Molles,Exposed,Deep,1,6,Crustaceo,0
209,Kelp,Los Molles,Exposed,Deep,1,6,Entalphora,8.333333333
210,Kelp,Los Molles,Exposed,Deep,1,6,Erizos,0
211,Kelp,Los Molles,Exposed,Deep,1,6,Estrella,0
212,Kelp,Los Molles,Exposed,Deep,1,6,Gastropodo,0
213,Kelp,Los Molles,Exposed,Deep,1,6,Heliaster helianthus,0
214,Kelp,Los Molles,Exposed,Deep,1,6,Hidrozoo,0
215,Kelp,Los Molles,Exposed,Deep,1,6,Opistobranchio,0
216,Kelp,Los Molles,Exposed,Deep,1,6,Sponge,0
217,Kelp,Los Molles,Exposed,Deep,1,6,Poliqueto,0
218,Kelp,Los Molles,Exposed,Deep,1,6,Tunicado,0
219,Kelp,Los Molles,Exposed,Deep,1,6,Peces,0
220,Kelp,Los Molles,Exposed,Deep,1,6,Shadow,4
221,Kelp,Los Molles,Exposed,Deep,1,6,Tape,0
222,Kelp,Los Molles,Exposed,Deep,1,6,Wand,0
223,Kelp,Los Molles,Exposed,Deep,1,7,Boulder,0
224,Kelp,Los Molles,Exposed,Deep,1,7,Conchuela,0
225,Kelp,Los Molles,Exposed,Deep,1,7,Rock,0
226,Kelp,Los Molles,Exposed,Deep,1,7,Rock,0
227,Kelp,Los Molles,Exposed,Deep,1,7,Rock,0
228,Kelp,Los Molles,Exposed,Deep,1,7,Rock,0
229,Kelp,Los Molles,Exposed,Deep,1,7,Sand,0
230,Kelp,Los Molles,Exposed,Deep,1,7,Corallina spp.,0
231,Kelp,Los Molles,Exposed,Deep,1,7,Crustosa verde,4.347826087
232,Kelp,Los Molles,Exposed,Deep,1,7,Gelidium spp.,0
233,Kelp,Los Molles,Exposed,Deep,1,7,Hildenbrandia,34.7826087
234,Kelp,Los Molles,Exposed,Deep,1,7,Algae indet,4.347826087
235,Kelp,Los Molles,Exposed,Deep,1,7,Lessonia,0
236,Kelp,Los Molles,Exposed,Deep,1,7,Lithothamnium,34.7826087
237,Kelp,Los Molles,Exposed,Deep,1,7,Filamentous,2.173913043
238,Kelp,Los Molles,Exposed,Deep,1,7,Filamentous,0
239,Kelp,Los Molles,Exposed,Deep,1,7,Ralfsia confusa,0
240,Kelp,Los Molles,Exposed,Deep,1,7,Lessonia skeleton,0
241,Kelp,Los Molles,Exposed,Deep,1,7,Anemona ,0
242,Kelp,Los Molles,Exposed,Deep,1,7,Calleporella,0
243,Kelp,Los Molles,Exposed,Deep,1,7,Chiton,0
244,Kelp,Los Molles,Exposed,Deep,1,7,Cirripedios,0
245,Kelp,Los Molles,Exposed,Deep,1,7,Crustaceo,0
246,Kelp,Los Molles,Exposed,Deep,1,7,Entalphora,0
247,Kelp,Los Molles,Exposed,Deep,1,7,Erizos,0
248,Kelp,Los Molles,Exposed,Deep,1,7,Estrella,0
249,Kelp,Los Molles,Exposed,Deep,1,7,Gastropodo,2.173913043
250,Kelp,Los Molles,Exposed,Deep,1,7,Heliaster helianthus,0
251,Kelp,Los Molles,Exposed,Deep,1,7,Hidrozoo,0
252,Kelp,Los Molles,Exposed,Deep,1,7,Opistobranchio,0
253,Kelp,Los Molles,Exposed,Deep,1,7,Sponge,17.39130435
254,Kelp,Los Molles,Exposed,Deep,1,7,Poliqueto,0
255,Kelp,Los Molles,Exposed,Deep,1,7,Tunicado,0
256,Kelp,Los Molles,Exposed,Deep,1,7,Peces,0
257,Kelp,Los Molles,Exposed,Deep,1,7,Shadow,8
258,Kelp,Los Molles,Exposed,Deep,1,7,Tape,0
259,Kelp,Los Molles,Exposed,Deep,1,7,Wand,0
260,Kelp,Los Molles,Exposed,Deep,1,8,Boulder,0
261,Kelp,Los Molles,Exposed,Deep,1,8,Conchuela,0
262,Kelp,Los Molles,Exposed,Deep,1,8,Rock,0
263,Kelp,Los Molles,Exposed,Deep,1,8,Rock,0
264,Kelp,Los Molles,Exposed,Deep,1,8,Rock,0
265,Kelp,Los Molles,Exposed,Deep,1,8,Rock,0
266,Kelp,Los Molles,Exposed,Deep,1,8,Sand,0
267,Kelp,Los Molles,Exposed,Deep,1,8,Corallina spp.,0
268,Kelp,Los Molles,Exposed,Deep,1,8,Crustosa verde,2.040816327
269,Kelp,Los Molles,Exposed,Deep,1,8,Gelidium spp.,0
270,Kelp,Los Molles,Exposed,Deep,1,8,Hildenbrandia,46.93877551
271,Kelp,Los Molles,Exposed,Deep,1,8,Algae indet,0
272,Kelp,Los Molles,Exposed,Deep,1,8,Lessonia,0
273,Kelp,Los Molles,Exposed,Deep,1,8,Lithothamnium,36.73469388
274,Kelp,Los Molles,Exposed,Deep,1,8,Filamentous,0
275,Kelp,Los Molles,Exposed,Deep,1,8,Filamentous,0
276,Kelp,Los Molles,Exposed,Deep,1,8,Ralfsia confusa,0
277,Kelp,Los Molles,Exposed,Deep,1,8,Lessonia skeleton,0
278,Kelp,Los Molles,Exposed,Deep,1,8,Anemona ,0
279,Kelp,Los Molles,Exposed,Deep,1,8,Calleporella,0
280,Kelp,Los Molles,Exposed,Deep,1,8,Chiton,0
281,Kelp,Los Molles,Exposed,Deep,1,8,Cirripedios,0
282,Kelp,Los Molles,Exposed,Deep,1,8,Crustaceo,0
283,Kelp,Los Molles,Exposed,Deep,1,8,Entalphora,2.040816327
284,Kelp,Los Molles,Exposed,Deep,1,8,Erizos,0
285,Kelp,Los Molles,Exposed,Deep,1,8,Estrella,0
286,Kelp,Los Molles,Exposed,Deep,1,8,Gastropodo,2.040816327
287,Kelp,Los Molles,Exposed,Deep,1,8,Heliaster helianthus,0
288,Kelp,Los Molles,Exposed,Deep,1,8,Hidrozoo,0
289,Kelp,Los Molles,Exposed,Deep,1,8,Opistobranchio,0
290,Kelp,Los Molles,Exposed,Deep,1,8,Sponge,10.20408163
291,Kelp,Los Molles,Exposed,Deep,1,8,Poliqueto,0
292,Kelp,Los Molles,Exposed,Deep,1,8,Tunicado,0
293,Kelp,Los Molles,Exposed,Deep,1,8,Peces,0
294,Kelp,Los Molles,Exposed,Deep,1,8,Shadow,0
295,Kelp,Los Molles,Exposed,Deep,1,8,Tape,2
296,Kelp,Los Molles,Exposed,Deep,1,8,Wand,0
297,Kelp,Los Molles,Exposed,Deep,1,9,Boulder,0
298,Kelp,Los Molles,Exposed,Deep,1,9,Conchuela,0
299,Kelp,Los Molles,Exposed,Deep,1,9,Rock,0
300,Kelp,Los Molles,Exposed,Deep,1,9,Rock,0
301,Kelp,Los Molles,Exposed,Deep,1,9,Rock,0
302,Kelp,Los Molles,Exposed,Deep,1,9,Rock,2.127659574
303,Kelp,Los Molles,Exposed,Deep,1,9,Sand,0
304,Kelp,Los Molles,Exposed,Deep,1,9,Corallina spp.,0
305,Kelp,Los Molles,Exposed,Deep,1,9,Crustosa verde,2.127659574
306,Kelp,Los Molles,Exposed,Deep,1,9,Gelidium spp.,0
307,Kelp,Los Molles,Exposed,Deep,1,9,Hildenbrandia,31.91489362
308,Kelp,Los Molles,Exposed,Deep,1,9,Algae indet,0
309,Kelp,Los Molles,Exposed,Deep,1,9,Lessonia,0
310,Kelp,Los Molles,Exposed,Deep,1,9,Lithothamnium,29.78723404
311,Kelp,Los Molles,Exposed,Deep,1,9,Filamentous,10.63829787
312,Kelp,Los Molles,Exposed,Deep,1,9,Filamentous,0
313,Kelp,Los Molles,Exposed,Deep,1,9,Ralfsia confusa,0
314,Kelp,Los Molles,Exposed,Deep,1,9,Lessonia skeleton,6.382978723
315,Kelp,Los Molles,Exposed,Deep,1,9,Anemona ,0
316,Kelp,Los Molles,Exposed,Deep,1,9,Calleporella,2.127659574
317,Kelp,Los Molles,Exposed,Deep,1,9,Chiton,0
318,Kelp,Los Molles,Exposed,Deep,1,9,Cirripedios,0
319,Kelp,Los Molles,Exposed,Deep,1,9,Crustaceo,0
320,Kelp,Los Molles,Exposed,Deep,1,9,Entalphora,12.76595745
321,Kelp,Los Molles,Exposed,Deep,1,9,Erizos,0
322,Kelp,Los Molles,Exposed,Deep,1,9,Estrella,0
323,Kelp,Los Molles,Exposed,Deep,1,9,Gastropodo,2.127659574
324,Kelp,Los Molles,Exposed,Deep,1,9,Heliaster helianthus,0
325,Kelp,Los Molles,Exposed,Deep,1,9,Hidrozoo,0
326,Kelp,Los Molles,Exposed,Deep,1,9,Opistobranchio,0
327,Kelp,Los Molles,Exposed,Deep,1,9,Sponge,0
328,Kelp,Los Molles,Exposed,Deep,1,9,Poliqueto,0
329,Kelp,Los Molles,Exposed,Deep,1,9,Tunicado,0
330,Kelp,Los Molles,Exposed,Deep,1,9,Peces,0
331,Kelp,Los Molles,Exposed,Deep,1,9,Shadow,4
332,Kelp,Los Molles,Exposed,Deep,1,9,Tape,2
333,Kelp,Los Molles,Exposed,Deep,1,9,Wand,0
334,Kelp,Los Molles,Exposed,Deep,1,10,Boulder,0
335,Kelp,Los Molles,Exposed,Deep,1,10,Conchuela,0
336,Kelp,Los Molles,Exposed,Deep,1,10,Rock,0
337,Kelp,Los Molles,Exposed,Deep,1,10,Rock,0
338,Kelp,Los Molles,Exposed,Deep,1,10,Rock,0
339,Kelp,Los Molles,Exposed,Deep,1,10,Rock,0
340,Kelp,Los Molles,Exposed,Deep,1,10,Sand,0
341,Kelp,Los Molles,Exposed,Deep,1,10,Corallina spp.,0
342,Kelp,Los Molles,Exposed,Deep,1,10,Crustosa verde,6
343,Kelp,Los Molles,Exposed,Deep,1,10,Gelidium spp.,0
344,Kelp,Los Molles,Exposed,Deep,1,10,Hildenbrandia,40
345,Kelp,Los Molles,Exposed,Deep,1,10,Algae indet,0
346,Kelp,Los Molles,Exposed,Deep,1,10,Lessonia,0
347,Kelp,Los Molles,Exposed,Deep,1,10,Lithothamnium,42
348,Kelp,Los Molles,Exposed,Deep,1,10,Filamentous,12
349,Kelp,Los Molles,Exposed,Deep,1,10,Filamentous,0
350,Kelp,Los Molles,Exposed,Deep,1,10,Ralfsia confusa,0
351,Kelp,Los Molles,Exposed,Deep,1,10,Lessonia skeleton,0
352,Kelp,Los Molles,Exposed,Deep,1,10,Anemona ,0
353,Kelp,Los Molles,Exposed,Deep,1,10,Calleporella,0
354,Kelp,Los Molles,Exposed,Deep,1,10,Chiton,0
355,Kelp,Los Molles,Exposed,Deep,1,10,Cirripedios,0
356,Kelp,Los Molles,Exposed,Deep,1,10,Crustaceo,0
357,Kelp,Los Molles,Exposed,Deep,1,10,Entalphora,0
358,Kelp,Los Molles,Exposed,Deep,1,10,Erizos,0
359,Kelp,Los Molles,Exposed,Deep,1,10,Estrella,0
360,Kelp,Los Molles,Exposed,Deep,1,10,Gastropodo,0
361,Kelp,Los Molles,Exposed,Deep,1,10,Heliaster helianthus,0
362,Kelp,Los Molles,Exposed,Deep,1,10,Hidrozoo,0
363,Kelp,Los Molles,Exposed,Deep,1,10,Opistobranchio,0
364,Kelp,Los Molles,Exposed,Deep,1,10,Sponge,0
365,Kelp,Los Molles,Exposed,Deep,1,10,Poliqueto,0
366,Kelp,Los Molles,Exposed,Deep,1,10,Tunicado,0
367,Kelp,Los Molles,Exposed,Deep,1,10,Peces,0
368,Kelp,Los Molles,Exposed,Deep,1,10,Shadow,0
369,Kelp,Los Molles,Exposed,Deep,1,10,Tape,0
370,Kelp,Los Molles,Exposed,Deep,1,10,Wand,0
371,Kelp,Los Molles,Exposed,Deep,2,1,Boulder,0
372,Kelp,Los Molles,Exposed,Deep,2,1,Conchuela,0
373,Kelp,Los Molles,Exposed,Deep,2,1,Rock,0
374,Kelp,Los Molles,Exposed,Deep,2,1,Rock,0
375,Kelp,Los Molles,Exposed,Deep,2,1,Rock,0
376,Kelp,Los Molles,Exposed,Deep,2,1,Rock,0
377,Kelp,Los Molles,Exposed,Deep,2,1,Sand,0
378,Kelp,Los Molles,Exposed,Deep,2,1,Corallina spp.,0
379,Kelp,Los Molles,Exposed,Deep,2,1,Crustosa verde,14.58333333
380,Kelp,Los Molles,Exposed,Deep,2,1,Gelidium spp.,0
381,Kelp,Los Molles,Exposed,Deep,2,1,Hildenbrandia,16.66666667
382,Kelp,Los Molles,Exposed,Deep,2,1,Algae indet,6.25
383,Kelp,Los Molles,Exposed,Deep,2,1,Lessonia,0
384,Kelp,Los Molles,Exposed,Deep,2,1,Lithothamnium,43.75
385,Kelp,Los Molles,Exposed,Deep,2,1,Filamentous,0
386,Kelp,Los Molles,Exposed,Deep,2,1,Filamentous,0
387,Kelp,Los Molles,Exposed,Deep,2,1,Ralfsia confusa,0
388,Kelp,Los Molles,Exposed,Deep,2,1,Lessonia skeleton,0
389,Kelp,Los Molles,Exposed,Deep,2,1,Anemona ,0
390,Kelp,Los Molles,Exposed,Deep,2,1,Calleporella,0
391,Kelp,Los Molles,Exposed,Deep,2,1,Chiton,0
392,Kelp,Los Molles,Exposed,Deep,2,1,Cirripedios,4.166666667
393,Kelp,Los Molles,Exposed,Deep,2,1,Crustaceo,0
394,Kelp,Los Molles,Exposed,Deep,2,1,Entalphora,0
395,Kelp,Los Molles,Exposed,Deep,2,1,Erizos,0
396,Kelp,Los Molles,Exposed,Deep,2,1,Estrella,0
397,Kelp,Los Molles,Exposed,Deep,2,1,Gastropodo,0
398,Kelp,Los Molles,Exposed,Deep,2,1,Heliaster helianthus,0
399,Kelp,Los Molles,Exposed,Deep,2,1,Hidrozoo,12.5
